"29089"|"M02.871"|"Other Reactive Arthropathies, Right Ankle And Foot"|"DWSD14"|"Musculoskeletal Disorders"|"DWD214"|"Infectious Arthropathies"|""|""|""|"Y"|"M1.5"
"29233"|"M05.729"|"Rheu Arthrit W Rheu Factor Of Unsp Elbow W/o Org/sys Involv"|"DWSD14"|"Musculoskeletal Disorders"|"DWD312"|"Rheumatoid Arthritis"|""|""|""|"Y"|"M1.5"
"30709"|"M26.4"|"Malocclusion, Unspecified"|"DWSD13"|"Miscellaneous"|"DWD165"|"Dental Conditions"|""|""|""|"Y"|"M1.5"
"30853"|"M41.50"|"Other Secondary Scoliosis, Site Unspecified"|"DWSD20"|"Spine-related Disorders"|"DWD163"|"Deformities of Spinal Curvature"|""|""|""|"Y"|"M1.5"
"30997"|"M46.32"|"Infection Of Intervertebral Disc (pyogenic), Cervical Region"|"DWSD11"|"Infections"|"DWD257"|"Osteomyelitis"|""|""|""|"Y"|"M1.5"
"31141"|"M53.2X9"|"Spinal Instabilities, Site Unspecified"|"DWSD20"|"Spine-related Disorders"|"DWD278"|"Spine Disorders, Other"|""|""|""|"Y"|"M1.5"
"31285"|"M53.82"|"Other Specified Dorsopathies, Cervical Region"|"DWSD20"|"Spine-related Disorders"|"DWD278"|"Spine Disorders, Other"|""|""|""|"Y"|"M1.5"
"43847"|"S25.21XS"|"Minor Laceration Of Superior Vena Cava, Sequela"|"DWSD21"|"Trauma"|"DWD356"|"Wounds/Injuries"|""|""|""|"Y"|"M1.5"
"21347"|"E13.341"|"Oth Diabetes W Severe Nonprlf Diabetic Rtnop W Macular Edema"|"DWSD05"|"Diabetes"|"DWD169"|"Diabetes Mellitus"|""|""|""|"Y"|"M1.5"
"21491"|"G61.0"|"Guillain-barre Syndrome"|"DWSD15"|"Neurological Disorders"|"DWD249"|"Neuropathies"|""|""|""|"Y"|"M1.5"
"21635"|"F10.159"|"Alcohol Abuse With Alcohol-induced Psychotic Disorder, Unsp"|"DWSD12"|"Mental Health"|"DWD151"|"Complications of Substance Abuse"|""|""|""|"Y"|"M1.5"
"21779"|"F14.23"|"Cocaine Dependence With Withdrawal"|"DWSD12"|"Mental Health"|"DWD151"|"Complications of Substance Abuse"|""|""|""|"Y"|"M1.5"
"21923"|"F19.20"|"Other Psychoactive Substance Dependence, Uncomplicated"|"DWSD12"|"Mental Health"|"DWD331"|"Substance Abuse/Dependence"|""|""|""|"Y"|"M1.5"
"22067"|"F45.8"|"Other Somatoform Disorders"|"DWSD12"|"Mental Health"|"DWD239"|"Mood and Anxiety Disorders"|""|""|""|"Y"|"M1.5"
"22211"|"H02.852"|"Elephantiasis Of Right Lower Eyelid"|"DWSD07"|"Eye/ENT Disorders"|"DWD265"|"Eye Disorders, Other"|""|""|""|"Y"|"M1.5"
"22355"|"H05.231"|"Hemorrhage Of Right Orbit"|"DWSD07"|"Eye/ENT Disorders"|"DWD265"|"Eye Disorders, Other"|""|""|""|"Y"|"M1.5"
"12331"|"820.32"|"Subtrochanteric Fracture Open"|"DWSD21"|"Trauma"|"DWD191"|"Fracture Of Lower Extremities"|"DW-149"|"Musculoskeletal Conditions"|"Fractures"|"N"|"M1.5"
"19487"|"C84.A3"|"Cutaneous T-cell Lymphoma, Unsp, Intra-abdominal Lymph Nodes"|"DWSD01"|"Cancer"|"DWD229"|"Lymphomas"|""|""|""|"Y"|"M1.5"
"25041"|"H49.40"|"Progressive External Ophthalmoplegia, Unspecified Eye"|"DWSD07"|"Eye/ENT Disorders"|"DWD265"|"Eye Disorders, Other"|""|""|""|"Y"|"M1.5"
"23495"|"H25.093"|"Other Age-related Incipient Cataract, Bilateral"|"DWSD07"|"Eye/ENT Disorders"|"DWD135"|"Cataract"|""|""|""|"Y"|"M1.5"
"23639"|"H30.133"|"Dissem Chorioretin Inflammation, Generalized, Bilateral"|"DWSD07"|"Eye/ENT Disorders"|"DWD265"|"Eye Disorders, Other"|""|""|""|"Y"|"M1.5"
